id,Nhóm gói,Tên gói,Giá,Giới thiệu gói khám,Dịch vụ trong gói,Điều kiện và điều khoản,Chuẩn bị trước tầm soát,Link
package_hanh-phuc-nhu-y-sinh-thuong,Sinh,Hạnh Phúc Như ý (Sinh thường),59900000,,"Phòng sinh | Trang thiết bị y tế cần thiết | Vật tư tiêu hao | Theo dõi tim thai | Bộ dụng cụ thủ thuật sản khoa | Vô trùng theo tiêu chuẩn quốc tế | Thiết bị hồi sức trẻ sơ sinh | Loại phòng: Phòng đơn – 3 ngày | Bác sĩ sản phụ khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Bác sĩ nhi khoa thăm khám 1 lần/ngày (Bác sĩ trực) | Khám hậu sản cho mẹ | Điều dưỡng chăm sóc cho mẹ | Điều dưỡng chăm sóc bé | Cho bé: 1 bộ áo sơ sinh, bao tay chân, 1 bịch tã, 1 hộp khăn giấy ướt | Cho mẹ: 1 bịch quần lót giấy, 1 bịch băng vệ sinh | Ưu tiên sử dụng phòng sinh VIP | Sinh thường có giảm đau | Nghỉ dưỡng 02 ngày theo tiêu chuẩn Ở cữ Hạnh Phúc | Quay phim “Hành trình Hạnh Phúc” | Tư vấn dinh dưỡng cho mẹ và bé | Đo vàng da cho bé | Siêu âm tầm soát tim sơ sinh | Check-in ưu tiên | Set quà tặng “Đón bé Như Ý” | Massage cổ vai gáy với túi thảo dược (45 phút)",,,https://www.hanhphuchospital.com/package/hanh-phuc-nhu-y-sinh-thuong/
package_goi-kham-thai-tu-10-40-tuan,Khám thai,Gói khám thai Tâm An (Gói khám thai 10-40 tuần),26000000,"Gói khám thai 10 – 40 tuần là gói theo dõi trọn thai kỳ, dành cho mẹ bầu bắt đầu chăm sóc thai từ tam cá nguyệt đầu và đồng hành xuyên suốt đến những tuần cuối trước sinh.",Khám Sản – Phụ khoa: 12 lần | Siêu âm đo độ mờ da gáy | Siêu âm Doppler động mạch tử cung | Siêu âm hình thái học sớm | Đo độ dài cổ tử cung | Siêu âm thai 4D | Siêu âm Doppler màu thai nhi | Siêu âm thai 2D: 8 lần | Xét nghiệm nước tiểu: 12 lần | Xét nghiệm máu | Theo dõi nhịp tim và cơn gò: 5 lần,,,https://www.hanhphuchospital.com/package/goi-kham-thai-tu-10-40-tuan/
package_goi-kham-thai-tu-16-40-tuan,Khám thai,Gói khám thai Mãn Nguyện (Gói khám thai 16-40 tuần),18500000,Gói khám thai 16 – 40 tuần phù hợp với mẹ bầu bắt đầu theo dõi thai kỳ từ tam cá nguyệt thứ hai.,Khám Sản – Phụ khoa: 10 lần | Siêu âm hình thái học sớm | Đo độ dài cổ tử cung | Siêu âm thai 4D | Siêu âm Doppler màu thai nhi | Siêu âm thai 2D: 7 lần | Xét nghiệm nước tiểu: 10 lần | Xét nghiệm máu | Theo dõi nhịp tim và cơn gò: 5 lần,,,https://www.hanhphuchospital.com/package/goi-kham-thai-tu-16-40-tuan/
package_goi-kham-thai-tu-24-40-tuan,Khám thai,Gói khám thai Nở Nhụy (Gói khám thai 24-40 tuần),15800000,Gói khám thai 24 – 40 tuần dành cho mẹ bầu đã có theo dõi ban đầu và mong muốn tiếp tục quản lý thai kỳ từ giai đoạn giữa thai kỳ đến trước sinh.,Khám Sản – Phụ khoa: 8 lần | Siêu âm Doppler màu thai nhi | Siêu âm thai 2D: 7 lần | Xét nghiệm nước tiểu: 8 lần | Xét nghiệm máu | Theo dõi nhịp tim và cơn gò: 5 lần,,,https://www.hanhphuchospital.com/package/goi-kham-thai-tu-24-40-tuan/
package_goi-kham-thai-tu-36-40-tuan,Khám thai,Gói khám thai Khai Hoa (Gói khám thai 36-40 tuần),9900000,"Gói khám thai 32 – 40 tuần tập trung vào giai đoạn cận sinh, giúp theo dõi sát tình trạng thai nhi và sức khỏe mẹ trong những tuần cuối thai kỳ.",Khám Sản – Phụ khoa: 4 lần | Siêu âm thai 2D: 4 lần | Xét nghiệm nước tiểu: 4 lần | Xét nghiệm máu | Theo dõi nhịp tim và cơn gò: 4 lần,,,https://www.hanhphuchospital.com/package/goi-kham-thai-tu-36-40-tuan/
package_goi-tam-soat-ung-thu-tuyen-giap,Tầm soát ung thư,Gói tầm soát ung thư tuyến giáp,880000,"Gói khám giúp phát hiện sớm rối loạn chức năng tuyến giáp và các khối u nghi ngờ ác tính, đặc biệt ở người có biểu hiện bất thường ở vùng cổ hoặc có tiền sử bệnh tuyến giáp.",Tư vấn với bác sĩ chuyên khoa Nội tiết – Tuyến giáp Xét nghiệm chức năng tuyến giáp | Siêu âm tuyến giáp,Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,"Không cần nhịn ăn, Quý khách có thể ăn uống bình thường trước khi thực hiện xét nghiệm hoặc siêu âm. | Nên mặc áo cổ rộng hoặc dễ cởi, giúp thuận tiện trong quá trình siêu âm vùng cổ. | Mang theo toa thuốc hoặc hồ sơ y tế cũ nếu đang điều trị bệnh lý tuyến giáp.",https://www.hanhphuchospital.com/package/goi-tam-soat-ung-thu-tuyen-giap/
package_goi-tam-soat-ung-thu-vu,Tầm soát ung thư,Gói tầm soát ung thư vú,1300000,"Gói Tầm Soát Ung Thư Vú của Bệnh viện Quốc tế Hạnh Phúc giúp khách hàng kiểm tra toàn diện, từ chụp nhũ ảnh đến siêu âm vú, và tư vấn cùng Bác sĩ chuyên khoa Sản - Phụ khoa.",Chụp nhũ ảnh | Siêu âm vú | Tư vấn với bác sĩ Sản – Phụ khoa,Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-tam-soat-ung-thu-vu/
package_goi-tam-soat-ung-thu-co-tu-cung,Tầm soát ung thư,Gói tầm soát ung thư cổ tử cung,2331000,"Gói Tầm Soát Ung Thư Cổ Tử Cung của Bệnh viện Quốc tế Hạnh Phúc kết hợp xét nghiệm HPV DNA và Liqui-prep để đảm bảo độ chính xác cao nhất trong việc phát hiện các thay đổi bất thường có thể dẫn đến ung thư cổ tử cung, và đề xuất các biện pháp chăm sóc sức khỏe phù hợp.",Kiểu Gen HPV PCR Thời Gian Thực | Xét Nghiệm Tế Bào Học Bằng Phương Pháp Liqui-prep | Tư vấn với bác sĩ Sản – Phụ khoa,Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-tam-soat-ung-thu-co-tu-cung/
package_goi-tam-soat-ung-thu-da-day-thuc-quan,Tầm soát ung thư,"Gói tầm soát ung thư dạ dày, thực quản",4800000,,"Tư vấn với bác sĩ chuyên khoa tiêu hóa | Xét nghiệm máu cơ bản | Công thức máu | Thời gian Prothrombin | Thời gian Prothrombin hoạt hóa từng phần | Nhóm xét nghiệm tầm soát ung thư | Tầm soát ung thư ruột già, dạ dày, phổi… | Tầm soát ung thư dạ dày | Tầm soát ung thư đường tiêu hóa – tụy, mật, dạ dày | Chẩn đoán Hình ảnh | Siêu âm vùng bụng | Siêu âm tim (dành cho người trên 40 tuổi) | Chụp X-quang ngực | Điện tâm đồ | Nội soi dạ dày có gây mê",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,"Nhịn ăn ít nhất 8 tiếng trước nội soi (không ăn sáng, không uống sữa, cà phê hoặc nước có màu). | Có thể uống ≤100ml nước lọc trước 2 giờ nếu cần. | Thông báo cho nhân viên y tế nếu Quý khách đang sử dụng các loại thuốc tim mạch, tiểu đường, thuốc kháng đông… | Ngưng dùng thuốc chống tiết acid (như omeprazol, esomeprazol…) trong 3 ngày trước nội soi nếu có thể.",https://www.hanhphuchospital.com/package/goi-tam-soat-ung-thu-da-day-thuc-quan/
package_goi-tam-soat-ung-thu-da-day-va-dai-truc-trang,Tầm soát ung thư,Gói tầm soát ung thư dạ dày và đại trực tràng,6700000,"Gói kết hợp được thiết kế dành cho người có nguy cơ cao hoặc đang gặp các triệu chứng tiêu hóa phức tạp, giúp tầm soát cùng lúc ung thư đường tiêu hóa trên (thực quản, dạ dày) và dưới (đại – trực tràng) thông qua quy trình nội soi toàn diện.","Tư vấn với bác sĩ chuyên khoa tiêu hóa | Xét nghiệm máu cơ bản | Công thức máu | Thời gian Prothrombin | Thời gian Prothrombin hoạt hóa từng phần | Nhóm xét nghiệm tầm soát ung thư | Tầm soát ung thư ruột già, dạ dày, phổi… | Tầm soát ung thư dạ dày | Tầm soát ung thư tụy, mật, dạ dày | Chẩn đoán Hình ảnh | Siêu âm vùng bụng | Siêu âm tim (dành cho người trên 40 tuổi) | Chụp X-quang ngực | Điện tâm đồ | Nội soi dạ dày và đại tràng có gây mê",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,"Nhịn ăn ít nhất 8 tiếng trước khi nội soi dạ dày (không ăn sáng, không uống sữa, nước có màu). | Có thể uống ≤100ml nước lọc trước 2 giờ, nếu thực sự cần. | Tuân thủ hướng dẫn uống thuốc xổ và chế độ ăn trước nội soi đại tràng (thông tin chi tiết sẽ được cung cấp khi đăng ký). | Ăn lỏng, không chất xơ, không rau xanh vào ngày trước nội soi. | Nhịn ăn hoàn toàn sau 22h đêm hôm trước ngày nội soi. | Thông báo với bác sĩ nếu đang dùng thuốc tim mạch, tiểu đường hoặc kháng đông. | Không uống thuốc chống tiết acid (omeprazol, esomeprazol…) trong 3 ngày trước nội soi nếu có thể.",https://www.hanhphuchospital.com/package/goi-tam-soat-ung-thu-da-day-va-dai-truc-trang/
package_goi-tam-soat-ung-thu-phu-khoa,Tầm soát ung thư,Gói tầm soát ung thư phụ khoa,5772000,"Tầm soát ung thư phụ khoa định kỳ giúp phụ nữ phát hiện bệnh ở giai đoạn sớm, nâng cao hiệu quả điều trị.",Khám Phụ Khoa Dưới Máy Soi Cổ Tử Cung | Khám Vú | Siêu Âm Vú | Siêu Âm Phụ Khoa Có Đầu Dò | Chụp X-quang Vú/ Chụp Nhũ Ảnh (Không Áp Dụng Cho Phụ Nữ Mang Thai) | Xét Nghiệm Tế Bào Học Bằng Phương Pháp Liqui-prep | Xét Nghiệm CA-125 (Chỉ Dấu Ung Thư Buồng Trứng) | Xét Nghiệm CA-15.3 (Chỉ Dấu Ung Thư Vú) | Kiểu Gen HPV PCR Thời Gian Thực,Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-tam-soat-ung-thu-phu-khoa/
package_goi-tam-soat-ung-thu-dai-truc-trang,Tầm soát ung thư,Gói tầm soát ung thư đại trực tràng,5800000,Ung thư đại trực tràng là một trong những ung thư phổ biến nhưng có thể chữa khỏi nếu phát hiện sớm. Gói tầm soát giúp kiểm tra toàn diện chức năng tiêu hóa dưới và phát hiện sớm các dấu hiệu bất thường ở đại tràng và trực tràng – những vị trí thường gặp của ung thư tiêu hóa.,"Tư vấn với bác sĩ chuyên khoa tiêu hóa | Xét nghiệm máu cơ bản | Công thức máu | Thời gian Prothrombin | Thời gian Prothrombin hoạt hóa từng phần | Nhóm xét nghiệm tầm soát ung thư | Tầm soát ung thư đại trực tràng, dạ dày, phổi… Tầm soát ung thư dạ dày | Tầm soát ung thư tụy, mật, dạ dày | Chẩn đoán Hình ảnh | Siêu âm vùng bụng | Siêu âm tim (dành cho người trên 40 tuổi) | Chụp X-quang ngực | Điện tâm đồ | Nội soi đại tràng có gây mê",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,"Thực hiện đúng hướng dẫn dùng thuốc xổ và chế độ ăn uống trước nội soi (thông tin chi tiết sẽ được cung cấp khi đăng ký dịch vụ). | Ăn lỏng, không chất xơ, không rau xanh trong ngày trước khi nội soi. | Nhịn ăn hoàn toàn sau 22h đêm hôm trước ngày nội soi. | Thông báo với bác sĩ nếu đang sử dụng thuốc kháng đông, thuốc tiểu đường hoặc thuốc tim mạch.",https://www.hanhphuchospital.com/package/goi-tam-soat-ung-thu-dai-truc-trang/
package_goi-tam-soat-ung-thu-vu-va-tuyen-giap,Tầm soát ung thư,Gói tầm soát ung thư vú và tuyến giáp,1900000,"Kết hợp siêu âm, xét nghiệm nội tiết và dấu ấn ung thư để kiểm tra bất thường vú và tuyến giáp.",Tư vấn với bác sĩ chuyên khoa Nội Tiết – Tuyến giáp | Tư vấn với bác sĩ Sản phụ khoa | Xét nghiệm chức năng tuyến giáp | TSH – Hormon kích thích tuyến giáp | FT4 – T4 tự do | T3 – Triiodothyronine | Xét nghiệm tầm soát ung thư vú CA 15-3 | Chẩn đoán hình ảnh | Siêu âm vú | Chụp nhũ ảnh,Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,"Nên khám trong khoảng 5–10 ngày sau kỳ kinh nguyệt đối với phụ nữ còn hành kinh. | Không bôi kem, phấn rôm, hoặc lăn khử mùi vùng nách trước khi chụp nhũ ảnh. | Mặc áo dễ thay, không mặc váy liền thân để thuận tiện khi chụp hình. | Phụ nữ mang thai hoặc cho con bú cần báo trước với nhân viên y tế. | Không cần nhịn ăn – Quý khách có thể ăn uống bình thường trước khi xét nghiệm hoặc siêu âm. | Nên mặc áo cổ rộng hoặc dễ cởi để thuận tiện trong quá trình siêu âm vùng cổ. | Mang theo toa thuốc hoặc hồ sơ y tế cũ nếu đang điều trị bệnh lý tuyến giáp.",https://www.hanhphuchospital.com/package/goi-tam-soat-ung-thu-vu-va-tuyen-giap/
package_goi-vac-xin-hpv-gardasil-9-2-lieu,Tiêm chủng,Gói vắc-xin HPV Gardasil 9 (2 liều),7104000,"Tiêm vắc-xin HPV cho trẻ từ 9-15 tuổi giúp phòng ngừa hiệu quả các bệnh liên quan đến virus HPV, bao gồm ung thư cổ tử cung. Đây là độ tuổi lý tưởng để tiêm ngừa, mang lại hiệu quả bảo vệ lâu dài.",2 liều vắc-xin HPV Gardasil 9 | Tư vấn trước khi tiêm ngừa | Theo dõi sức khỏe sau tiêm phòng | Phiếu tiêm chủng,Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-vac-xin-hpv-gardasil-9-2-lieu/
package_goi-vac-xin-1-6-thang-1,Tiêm chủng,Gói vắc-xin 1 – 6 tháng (1),16000000,"Gói vắc-xin cho bé từ 1 - 6 tháng đặt nền tảng miễn dịch đầu đời cho bé với các vắc-xin thiết yếu phòng ngừa 6 trong 1, phế cầu, tiêm chủng sơ sinh và các bệnh nhiễm khuẩn nguy hiểm thường gặp ở trẻ nhỏ.","06 lần khám sàng lọc trước tiêm | 10 lần tiêm và 2 lần uống vắc xin | Các bệnh được phòng ngừa | 6 trong 1 (Bạch hầu, Ho gà, Uốn ván, Bại liệt, Hib, Viêm gan B): Infanrix – 3 mũi | Tiêu chảy cấp do Rotavirus: Rotarix – 2 liều | Các bệnh do Phế cầu (Viêm phổi, viêm tai giữa…): Synflorix – 3 mũi | Viêm màng não mô cầu nhóm B: Bexsero – 2 mũi | Cúm mùa: Influvac Tetra – 2 mũi",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-vac-xin-1-6-thang-1/
package_goi-vac-xin-1-6-thang-2,Tiêm chủng,Gói vắc-xin 1 – 6 tháng (2),19000000,"Gói vắc-xin cho bé từ 1 - 6 tháng đặt nền tảng miễn dịch đầu đời cho bé với các vắc-xin thiết yếu phòng ngừa 6 trong 1, phế cầu, tiêm chủng sơ sinh và các bệnh nhiễm khuẩn nguy hiểm thường gặp ở trẻ nhỏ.","06 lần khám sàng lọc trước tiêm | 10 lần tiêm và 3 lần uống vắc xin | Các bệnh được phòng ngừa | 6 trong 1 (Bạch hầu, Ho gà, Uốn ván, Bại liệt, Hib, Viêm gan B): Hexaxim – 3 mũi | Tiêu chảy cấp do Rotavirus: Rotateq – 3 liều | Các bệnh do Phế cầu (Viêm phổi, viêm tai giữa…): Prevenar 20 – 3 mũi | Viêm màng não mô cầu nhóm B: Bexsero – 2 mũi | Cúm mùa: Vaxigrip Tetra – 2 mũi",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-vac-xin-1-6-thang-2/
package_goi-vac-xin-1-12-thang-1,Tiêm chủng,Gói vắc-xin 1 – 12 tháng (1),23000000,"Trang bị miễn dịch đầy đủ và kịp thời cho bé trong năm đầu – giai đoạn cơ thể bắt đầu khám phá và tiếp xúc với nhiều tác nhân gây bệnh. Bao phủ các bệnh thường gặp như sởi – quai bị – rubella, thủy đậu và các bệnh lý do vi khuẩn/virus.","08 lần khám sàng lọc trước tiêm | 15 lần tiêm và 2 lần uống vắc xin | Các bệnh được phòng ngừa | 6 trong 1 (Bạch hầu, Ho gà, Uốn ván, Bại liệt, Hib, Viêm gan B): Infanrix – 3 mũi | Tiêu chảy cấp do Rotavirus: Rotarix – 2 liều | Các bệnh do Phế cầu (Viêm phổi, viêm tai giữa…): Synflorix – 4 mũi | Viêm màng não mô cầu nhóm B: Bexsero – 2 mũi | Cúm mùa: Influvac Tetra – 2 mũi | Viêm màng não mô cầu (A, C, W, Y): MenQuadfi – 1 mũi | Sởi đơn hoặc Sởi – Quai bị – Rubella: MVVac/Priorix – 1 mũi | Viêm não Nhật Bản: Imojev – 1 mũi | Thủy đậu: Varilrix – 1 mũi",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-vac-xin-1-12-thang-1/
package_goi-vac-xin-1-12-thang-2,Tiêm chủng,Gói vắc-xin 1 – 12 tháng (2),26000000,"Trang bị miễn dịch đầy đủ và kịp thời cho bé trong năm đầu – giai đoạn cơ thể bắt đầu khám phá và tiếp xúc với nhiều tác nhân gây bệnh. Bao phủ các bệnh thường gặp như sởi – quai bị – rubella, thủy đậu và các bệnh lý do vi khuẩn/virus.","08 lần khám sàng lọc trước tiêm | 15 lần tiêm và 03 lần uống vắc xin | Các bệnh được phòng ngừa | 6 trong 1 (Bạch hầu, Ho gà, Uốn ván, Bại liệt, Hib, Viêm gan B): Hexaxim – 3 mũi | Tiêu chảy cấp do Rotavirus: Rotateq – 3 mũi | Các bệnh do Phế cầu (Viêm phổi, viêm tai giữa…): Prevenar 20 – 4 mũi | Viêm màng não mô cầu nhóm B: Bexsero – 2 mũi | Cúm mùa: Vaxigrip Tetra – 2 mũi | Viêm màng não mô cầu (A, C, W, Y): MenQuadfi – 1 mũi | Sởi đơn hoặc Sởi – Quai bị – Rubella: MVVac/Priorix – 1 mũi | Viêm não Nhật Bản: Imojev – 1 mũi | Thủy đậu: Varivax – 1 mũi",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-vac-xin-1-12-thang-2/
package_goi-vac-xin-12-24-thang-1,Tiêm chủng,Gói vắc-xin 12 – 24 tháng (1),12000000,"Bổ sung các mũi nhắc và vắc-xin cần thiết khi bé bắt đầu ăn dặm, đi học, tiếp xúc với môi trường rộng hơn. Giúp củng cố sức đề kháng, phòng ngừa viêm não, cúm, thương hàn và nhiều bệnh truyền nhiễm khác.","06 lần khám sàng lọc trước tiêm | 11 lần tiêm vắc xin | Các bệnh được phòng ngừa | 6 trong 1 (Bạch hầu, Ho gà, Uốn ván, Bại liệt, Hib, Viêm gan B): Infanrix – 1 mũi | Viêm màng não mô cầu nhóm B: Bexsero – 1 mũi | Cúm mùa: Influvac Tetra – 1 mũi | Viêm màng não mô cầu (A, C, W, Y): MenQuadfi – 1 mũi | Sởi – Quai bị – Rubella: Priorix – 2 mũi | Viêm não Nhật Bản: Imojev – 1 mũi | Viêm gan A: Avaxim – 2 mũi | Thương hàn: Typhim – 1 mũi | Thủy đậu: Varilrix – 1 mũi",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-vac-xin-12-24-thang-1/
package_goi-vac-xin-12-24-thang-2,Tiêm chủng,Gói vắc-xin 12 – 24 tháng (2),12500000,"Bổ sung các mũi nhắc và vắc-xin cần thiết khi bé bắt đầu ăn dặm, đi học, tiếp xúc với môi trường rộng hơn. Giúp củng cố sức đề kháng, phòng ngừa viêm não, cúm, thương hàn và nhiều bệnh truyền nhiễm khác.","06 lần khám sàng lọc trước tiêm | 11 lần tiêm vắc xin | Các bệnh được phòng ngừa | 6 trong 1 (Bạch hầu, Ho gà, Uốn ván, Bại liệt, Hib, Viêm gan B): Hexaxim – 1 mũi | Viêm màng não mô cầu nhóm B: Bexsero – 1 mũi | Cúm mùa: Vaxigrip Tetra – 1 mũi | Viêm màng não mô cầu (A, C, W, Y): MenQuadfi – 1 mũi | Sởi – Quai bị – Rubella: MMR – 2 mũi | Viêm não Nhật Bản: Imojev – 1 mũi | Viêm gan A: Avaxim – 2 mũi | Thương hàn: Typhim – 1 mũi | Thủy đậu: Varivax – 1 mũi",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-vac-xin-12-24-thang-2/
package_goi-vac-xin-1-24-thang-1,Tiêm chủng,Gói vắc-xin 1 – 24 tháng (1),33000000,"Giải pháp tiêm chủng “2 năm đầu đời” toàn diện nhất, bao gồm đầy đủ các mũi cơ bản + vắc-xin mở rộng, giúp bé được bảo vệ từ sớm đến khi hoàn thiện miễn dịch.","14 lần khám sàng lọc trước tiêm | 26 lần tiêm vắc xin và 2 lần uống vắc xin | Các bệnh được phòng ngừa | 6 trong 1 (Bạch hầu, Ho gà, Uốn ván, Bại liệt, Hib, Viêm gan B): Infanrix – 4 mũi | Các bệnh do vi-rút Rota: Rotarix – 2 mũi | Các bệnh do Phế cầu: Synflorix – 4 mũi | Viêm màng não mô cầu nhóm B: Bexsero – 3 mũi | Cúm mùa: Influvac Tetra – 3 mũi | Sởi: MVVac/Priorix – 1 mũi | Sởi – Quai bị – Rubella: Priorix – 2 mũi | Viêm não Nhật Bản: Imojev – 2 mũi | Thủy đậu: Varilrix – 2 mũi | Viêm gan A: Avaxim – 2 mũi | Thương hàn: Typhim – 1 mũi | Viêm màng não mô cầu (A, C, W, Y): MenQuadfi – 2 mũi",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-vac-xin-1-24-thang-1/
package_goi-vac-xin-1-24-thang-2,Tiêm chủng,Gói vắc-xin 1 – 24 tháng (2),37000000,"Giải pháp tiêm chủng “2 năm đầu đời” toàn diện nhất, bao gồm đầy đủ các mũi cơ bản + vắc-xin mở rộng, giúp bé được bảo vệ từ sớm đến khi hoàn thiện miễn dịch.","14 lần khám sàng lọc trước tiêm | 26 lần tiêm vắc xin và 03 lần uống vắc xin | Các bệnh được phòng ngừa | 6 trong 1 (Bạch hầu, Ho gà, Uốn ván, Bại liệt, Hib, Viêm gan B): Hexaxim – 4 mũi | Các bệnh do vi-rút Rota: Rotateq – 3 mũi | Các bệnh do Phế cầu: Prevenar 20 – 4 mũi | Viêm màng não mô cầu nhóm B: Bexsero – 3 mũi | Cúm mùa: Vaxigrip Tetra – 3 mũi | Sởi: MVVac – 1 mũi | Sởi – Quai bị – Rubella: MMR – 2 mũi | Viêm não Nhật Bản: Imojev – 2 mũi | Thủy đậu: Varivax – 2 mũi | Viêm gan A: Avaxim – 2 mũi | Thương hàn: Typhim – 1 mũi | Viêm màng não mô cầu (A, C, W, Y): MenQuadfi – 2 mũi",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-vac-xin-1-24-thang-2/
